event_date,location,country,latitude,longitude,injury_severity,aircraft_damage,aircraft_category,make,model,amateur_built,number_of_engines,engine_type,purpose_of_flight,total_fatal_injuries,total_serious_injuries,total_minor_injuries,total_uninjured,weather_condition,publication_date,event_year,total_occupants,fatality_rate,serious_injury_rate,destroyed,make_model
2021-06-22,"Neubrandenburg, Germany",Germany,,,Non-Fatal,Substantial,Airplane,Beechcraft,36,No,,,,0,0,0,2,,,2021,2,0.0,0.0,0,Beechcraft_36
2021-06-23,"Apple Valley, CA",United States,343415N,1171125W,Non-Fatal,Substantial,Airplane,Cessna Aircraft Company,T206,No,1,Reciprocating,Public Aircraft - State,0,0,0,2,VMC,2021-10-20,2021,2,0.0,0.0,0,Cessna Aircraft Company_T206
2021-06-23,"Jefferson, NC",United States,362559N,0081251W,Non-Fatal,Substantial,Airplane,Aeronca,11CC,No,1,,Personal,0,0,0,2,VMC,,2021,2,0.0,0.0,0,Aeronca_11CC
2021-06-24,"Easton, MD",United States,384850N,0076356W,Non-Fatal,Destroyed,Airplane,Piper Aircraft,PA-28-161,No,1,,Instructional,0,0,1,0,VMC,2021-07-08,2021,1,0.0,0.0,1,Piper Aircraft_PA-28-161
2021-06-24,"St. Louis, MO",United States,384443N,0902112W,Non-Fatal,Substantial,Airplane,Piper Aircraft,PA 46-350P,No,1,Reciprocating,Personal,0,0,0,3,VMC,2021-09-29,2021,3,0.0,0.0,0,Piper Aircraft_PA 46-350P
2021-06-25,"Jennings, LA",United States,301442N,0923954W,Non-Fatal,Unknown,Airplane,Aero Commander,500 S,No,2,Reciprocating,Executive/Corporate,0,0,0,1,VMC,2021-12-17,2021,1,0.0,0.0,0,Aero Commander_500 S
2021-06-25,"Teuge, Netherlands (the)",Netherlands,521441N,0006248E,Non-Fatal,Substantial,Airplane,Cessna Aircraft Company,208,No,,,Skydiving,0,0,0,18,,,2021,18,0.0,0.0,0,Cessna Aircraft Company_208
2021-06-25,"Loveland, CO",United States,040277N,0105041W,Non-Fatal,Substantial,Airplane,Piper Aircraft,PA-28-180,No,1,Reciprocating,Instructional,0,0,0,2,VMC,2021-08-20,2021,2,0.0,0.0,0,Piper Aircraft_PA-28-180
2021-06-25,"Porter, TX",United States,030912N,0951919W,Non-Fatal,Substantial,Airplane,Piper Aircraft,PA-28-140,No,1,,Personal,0,0,0,2,,2021-07-27,2021,2,0.0,0.0,0,Piper Aircraft_PA-28-140
2021-06-25,"Mount Pocono, PA",United States,041816N,0752248W,Non-Fatal,Substantial,Airplane,Cessna Aircraft Company,172S,No,1,,Personal,0,0,0,1,VMC,,2021,1,0.0,0.0,0,Cessna Aircraft Company_172S
2021-06-26,"Ririe, ID",United States,433642N,1114140W,Non-Fatal,Substantial,Airplane,Cessna Aircraft Company,182E,No,1,Reciprocating,Personal,0,0,0,4,VMC,2021-09-20,2021,4,0.0,0.0,0,Cessna Aircraft Company_182E
2021-06-27,"Marion, MT",United States,048459N,1144019W,Non-Fatal,Substantial,Airplane,Mooney,M20F,No,1,,Personal,0,1,0,1,VMC,2021-07-16,2021,2,0.0,0.5,0,Mooney_M20F
2021-06-27,"Stevenson, WA",United States,454328N,1215320W,Non-Fatal,Destroyed,Airplane,Stinson,108-3,No,1,Reciprocating,Personal,0,0,2,0,VMC,2021-11-16,2021,2,0.0,0.0,1,Stinson_108-3
2021-06-27,"Lima, Peru",Peru,134345S,0761221W,Non-Fatal,Unknown,Airplane,Cessna Aircraft Company,152,No,,,,0,2,0,0,,,2021,2,0.0,1.0,0,Cessna Aircraft Company_152
2021-06-28,"Bentleyville, PA",United States,040659N,0080028W,Non-Fatal,Substantial,Airplane,Cessna Aircraft Company,150H,No,1,,Instructional,0,0,2,0,,,2021,2,0.0,0.0,0,Cessna Aircraft Company_150H
2021-06-28,"Woodland, TN",United States,353525N,0008962W,Non-Fatal,Substantial,Airplane,Piper Aircraft,PA-28-180,No,1,Reciprocating,Instructional,0,1,0,0,VMC,2021-09-22,2021,1,0.0,1.0,0,Piper Aircraft_PA-28-180
2021-06-28,"Sterling, AK",United States,060431N,0150201W,Non-Fatal,Substantial,Airplane,Piper Aircraft,J3C-65,No,1,,Personal,0,0,0,2,VMC,2021-07-20,2021,2,0.0,0.0,0,Piper Aircraft_J3C-65
2021-06-28,"Nampa, ID",United States,433453N,1163123W,Non-Fatal,Substantial,Airplane,Mooney,M20,No,1,Reciprocating,Personal,0,0,0,2,VMC,2021-09-20,2021,2,0.0,0.0,0,Mooney_M20
2021-06-28,"Dillingham, AK",United States,595259N,1574539W,Non-Fatal,Substantial,Airplane,Cessna Aircraft Company,A185F,No,1,Reciprocating,Business,0,0,0,3,VMC,2021-12-17,2021,3,0.0,0.0,0,Cessna Aircraft Company_A185F
